Rowid,city,metro_stations
1,chennai,AG - DMS metro station
2,chennai,Anna Nagar East metro station
3,chennai,Anna Nagar Tower metro station
4,chennai,Arignar Anna Alandur metro station
5,chennai,Arumbakkam metro station
6,chennai,Ashok Nagar metro station
7,chennai,Chennai International Airport metro station
8,chennai,Egmore metro station
9,chennai,Ekkattuthangal metro station
10,chennai,Government Estate metro station
11,chennai,Guindy metro station
12,chennai,High Court metro station
13,chennai,Kilpauk Medical College metro station
14,chennai,Koyambedu metro station
15,chennai,LIC metro station
16,chennai,Lighthouse metro station
17,chennai,List of Chennai metro stations
18,chennai,Little Mount metro station
19,chennai,Mannadi metro station
20,chennai,Meenambakkam metro station
21,chennai,Nandanam metro station
22,chennai,Nanganallur Road metro station
23,chennai,Nehru Park metro station
24,chennai,Pachaiyappa's College metro station
25,chennai,Puratchi Thalaivar Dr. M.G. Ramachandran Central metro station
26,chennai,Puratchi Thalaivi Dr. J. Jayalalithaa CMBT metro station
27,chennai,Saidapet metro station
28,chennai,St. Thomas Mount railway station
29,chennai,Shenoy Nagar metro station
30,chennai,Teynampet metro station
31,chennai,Thirumangalam metro station
32,chennai,Thousand Lights metro station
33,chennai,Vadapalani metro station
34,chennai,Washermanpet metro station
35,chennai,Wimco Nagar metro station
